time,cap,Prediction,real
953.848,1.4315295,,
959.502,1.4312085,,
966.179,1.4310165,,
972.854,1.430889,,
979.275,1.4306535,,
985.951,1.430526,,
992.117,1.4302485,,
999.044,1.430292,,
1004.69,1.4302695,,
1005.46,1.4301,,
1010.17,1.09153575,,
1010.79,1.091446875,,
1011.4,,1.09101188,1.0916235
1011.62,,1.090848654,1.072670625
1012.046667,,1.09069705,1.0726962
1012.473333,,1.090553668,1.072721775
1012.9,,1.090414132,1.07274735
1013.326667,,1.090279527,1.072772925
1013.753333,,1.090150683,1.0727985
1014.18,,1.090027847,1.072824075
1014.606667,,1.089912053,1.07284965
1015.033333,,1.089912066,1.072875225
