time,ESR,Prediction,real
930.968,1.042951,,
935.745,1.0430456,,
942.119,1.0431606,,
943.392,1.0432825,,
946.902,1.043422,,
949.769,1.0435282,,
952.003,1.0436047,,
955.826,1.0436715,,
958.374,1.0437158,,
960.923,1.0437778,,
963.793,1.0438447,,
967.943,1.043909,,
970.491,1.043972,,
978.466,1.0440198,,
983.573,1.0440733,,
988.03,1.0441465,,
991.53,1.0442098,,
997.596,1.0443059,,
1001.1,1.0444127,,
1007.47,1.0444984,,
1010.34,1.3928,,
1010.59,1.393706667,,
1011.7,1.393773333,,
1012.81,1.393777333,,
1013.92,1.393781333,,
1015.02,1.393826667,,
1015.44,1.393880133,,
1016.13,1.393893333,,
1017.24,1.393993333,,
1018.35,1.393998,,
1019.46,,1.394745741,1.39396
1019.46,,1.395191632,1.394026667
1020.57,,1.395373462,1.394026667
1020.57,,1.39539267,1.394026667
1023.1,,1.395315126,1.3930532
1029.16,,1.395183095,1.393173333
1032.98,,1.395023863,1.393279867
1036.16,,1.394854462,1.39344
1040.3,,1.394685396,1.393613333
1042.53,,1.394522984,1.393733333
1044.14,,1.394370783,1.393813333
1046.05,,1.394230592,1.393746533
1049.88,,1.394102829,1.393746533
1053.39,,1.393987517,1.393773333
1057.22,,1.393884069,1.393813333
1062,,1.393791605,1.39396
1064.87,,1.393709374,1.39408
1071.24,,1.393636412,1.39416
1075.38,,1.39357184,1.394386667
1080.16,,1.393514885,1.394533333
1083.98,,1.393518275,1.394640133
1087.49,,1.393521664,1.3948132
1090.36,,1.393524908,1.39492
1094.49,,1.3935279,1.394973333
1099.59,,1.393530641,1.39516
1103.09,,1.393533152,1.395373333
1107.23,,1.393535432,1.395560133
1111.05,,1.393537441,1.39572
1115.83,,1.393539324,1.395853333
